000011.96+000225.3     11.4766340            NaN
000016.43-001833.3     11.8296223     11.2447252
000043.95-091134.9     11.0138655     10.4096479
000102.18-102326.9     10.4342661      9.1858807
000109.12-004121.6     10.9783592     13.8193769
000110.97-105247.4     11.8104296      9.1850567
000132.83+145608.0     10.8933992     10.8382587
000149.52-100251.8     10.8184280            NaN
000222.47-000443.5     11.4407883     10.8044434
000410.80-104527.1     10.7667942     10.0005388
000435.75-011318.6     11.2460852     11.0778389
000445.71+002245.0     11.1409149     10.6539068
000508.85+002608.2     11.3457489     11.5941868
000519.39+144422.6     12.1507187            NaN
000545.61+153833.8     11.5032663     11.0216408
000557.23+002837.7     10.6720200     10.2862387
000559.20+153125.1     11.2300920     10.5966167
000601.82-052845.0     11.0932407            NaN
000618.27-100606.6     11.6652575     11.1872358
000701.33+002242.3     12.2376337            NaN
000710.01+005329.1     11.1977987     11.2204895
000834.71+003156.1     10.8041344            NaN
000859.18+011351.1     10.7266836     11.0756483
000904.54-103428.7     10.4570665     10.3498049
000943.14-090839.2     10.8165073            NaN
001002.96-010107.2     11.2424421     13.2610779
001010.03+005126.6     10.7948856      9.7794418
001024.21+153331.3     12.0878067     11.0034075
001030.55+010006.0     10.9142666            NaN
001125.75-105710.4     11.2892275     11.1959801
001130.18-102353.8     10.3717661     10.6991224
001224.01-102226.5     11.0082235     10.2905264
001232.63-100132.5     10.8190470            NaN
001247.93-084700.5     10.9249640            NaN
001327.31+005232.0     11.3661041     10.9248161
001340.17+145730.8     11.3787470     11.0789394
001340.74-111100.6     10.9981937     10.6302099
001344.93+150111.8     11.2666540            NaN
001346.52+003402.8     10.6633949            NaN
001502.38-094439.1     10.8283329      9.5951939
001504.34-005439.1     11.5220947     10.9553299
001545.36+000822.6     10.5003824     11.2146606
001630.43-093853.5     10.6155291            NaN
001725.37+141132.6     11.9553366     11.0449009
001744.64-091355.5     10.3233900     10.4584112
001855.22-091351.1     12.0916195     11.3639288
001931.57-085938.4     11.3528852     10.6307497
002019.22-110609.2     11.6264000     11.5340872
002043.58+141249.4     11.6000814            NaN
002141.01+003841.7     10.6554470            NaN
002149.25+144705.2     10.8309307      9.8308754
002249.22-103956.2     11.4554472      9.9950190
002303.15+011533.6     11.5101013            NaN
002314.84+143816.2     11.8717966            NaN
002330.58+154744.9     11.5010300     10.7405691
002332.34-011444.2     11.6116076     11.1108561
002444.12+003221.2     11.5614376     10.8630610
002537.12+154402.4     10.9172773     10.0854044
002614.28-005920.8     10.6836720     10.4933262
002620.87+011518.0     10.5190258            NaN
002712.59+005159.8     10.4534512      9.9214077
002752.39+002615.6     10.7328358            NaN
002815.78+004247.5     10.3657608     10.6125793
002831.71-000413.3     11.1388006     10.1667185
002916.62-104620.5     10.9518671     10.8804073
002959.03+150817.2     10.2622547      9.8416653
003036.15-011443.0     11.6091280            NaN
003043.59-103517.6     10.5854263     10.3807907
003100.83-004431.0     11.4081240     10.7396679
003151.45+010527.9     11.2560091            NaN
003242.74+003110.9     10.6244307      9.4893026
003319.52-101924.1     11.0977077     10.6293211
003321.77+141626.4     10.4607038     10.2562046
003431.74-001312.7     11.1612568     11.0482206
003511.48-004918.0     10.3641405      9.8575344
003551.42+003545.4     10.7141752     12.1427164
003605.36+140226.0     11.5518417     11.6284065
003618.41-105503.0     11.5272102      9.9632635
003657.17-100810.6     10.5150118     10.1481247
003711.00+002127.8     10.8699570            NaN
003719.84+011114.6     11.2222271     10.6247644
003723.49+000812.5     10.7568541      9.9736357
003740.13-090810.0     11.8095970     11.6376047
003752.29-000106.3     10.7862968     10.8520031
003803.16-095521.5     10.2715168     10.7665119
003852.32+153516.2     11.1431684     11.0855789
003931.58-111102.3     11.3210716     10.6399164
004030.88-095359.3     11.0663948            NaN
004032.10-001350.8     10.3023071      9.9662819
004038.39+160949.9     10.6533642            NaN
004052.14+000057.2     10.9569054     10.2258568
004150.65+000728.1     11.3154430     11.1829815
004213.46+005917.7     11.1840868            NaN
004222.29-103743.8     11.8542032     10.6666317
004319.73+005115.4     11.1692715     10.3896570
004341.25+005253.3     12.4645319            NaN
004458.68+004319.8     10.6828480     10.5798168
004459.90-103912.1     11.2124758     11.0018616
004712.57-084330.8     11.0623198     10.5529318
004930.90+153216.3     10.9713078     10.4423647
005118.28+135448.1     10.3635988            NaN
005121.26+004521.6     11.6831436            NaN
005205.56+003538.1     11.4052382     11.2963610
005232.43+005123.0     10.9925022     10.7802057
005244.23-005721.7     11.9434185     11.5236969
005328.81-085755.1     10.7414284      9.8379974
005434.92+145528.7     12.0544491     11.6662254
005441.19+000110.6     11.9574709     11.1348686
005446.22+140019.0     11.2301397     10.2815571
005548.84+002939.3     11.2588348            NaN
005550.75-101905.7     10.5586767     10.5505285
005704.42+141759.3     10.6753130            NaN
005709.94+144610.1     11.5196352            NaN
005729.13-093258.4     11.5831366            NaN
005737.71+144259.4     10.4714108      9.6952963
005812.84+160201.4     11.3082438     10.7787018
005838.95-102651.3     11.0812969     10.0382652
005905.51+000651.6     11.9665165     11.6087332
005916.10+153816.1     10.8038960     10.8290586
005921.37+004108.8     10.9256372            NaN
010002.32+001642.5     12.0749149     11.3541555
010033.50+002200.1     11.7760897     11.1830950
010112.06-094500.8     10.8567295     10.4066467
010113.03-092742.1     11.5758963     10.6953459
010131.16+133145.8     11.9956141            NaN
010151.08+002028.9     10.9458761     10.0613232
010204.37-103805.8     10.6601591     13.1874743
010205.89+001156.9     11.8484745     11.3508606
010209.82+133152.8     11.1928558     11.1880465
010226.31-003904.6     11.6262054            NaN
010230.03-003206.8     10.6292744            NaN
010342.73+002537.2     11.6284456     11.2152739
010352.46+003739.7     12.5293579     11.6415510
010407.00+011412.9     10.8331728     10.1023960
010448.57-091013.0     11.4902096            NaN
010509.30+005258.7     11.5539007            NaN
010644.15-103410.5     11.3397160     10.8667030
010715.34-085212.2     11.1794825     11.2448111
010715.97-083429.3     10.8252583     10.7434721
010737.01-001911.6     11.8355408     11.4826508
010842.45-091241.7     10.8354025     10.2620449
010900.36+151217.5     10.9746809     10.3923836
010933.91+152559.0     10.7617321      9.9859228
011012.45-092638.9     10.9733839            NaN
011018.18-101138.2     10.4184265     10.3473816
011110.04-101631.8     11.1317806     10.3007431
011132.32+133519.1     11.7667713            NaN
011238.88-083502.0     10.9346209     10.4848557
011254.91+000313.0     10.8001995      9.4592648
011257.34+150340.3     11.6147947     11.0689220
011310.39-003133.1     11.1004953     10.8471851
011402.35-004750.9     10.7414083      9.5730238
011417.18-005518.8     11.8407469            NaN
011420.95-004049.3     11.2048635     10.8716698
011427.77+243311.9     11.3312263     11.2924862
011430.24+000420.9     10.8635941     10.7559900
011441.38-091759.2     11.5384521     10.7647200
011623.04+142940.5     11.3752270            NaN
011639.53-101650.4     11.8332214            NaN
011643.91+134837.5     11.7428226     11.3972626
011741.85-104717.6     11.5498228            NaN
011807.98+150512.9     10.9426203            NaN
011845.55+133327.2     10.5887299            NaN
011919.27-093721.7     10.5229759     10.9047003
011946.75+135649.1     10.7704506      9.5993290
012016.72-092028.8     11.3542671     10.9345369
012039.20-084238.0     11.8122559            NaN
012046.10+154239.6     10.8442326            NaN
012047.53-082629.4     10.6209288            NaN
012050.94-001832.9     11.1317291      9.6607523
012128.08+003450.6     10.8478928            NaN
012130.48-094236.8     11.4399538     10.8746796
012157.62+141036.0     11.9147472     11.3080292
012206.98+134711.8     10.4863291      9.5305977
012214.56+150551.2     10.9669352     10.0036783
012240.12-003239.7     12.0564871     11.3257980
012244.89-104142.2     11.8226366     11.7054071
012256.19-000252.7     10.4426832     10.4904060
012419.87+141858.4     11.1958666     10.5135412
012449.79-095614.4     12.0174732     11.3883705
012602.95-090425.6     11.1516294     10.7216606
012602.99-000822.5     11.5068827     10.7675562
012729.61+133942.9     11.6645231     11.4591932
012810.94+005554.2     11.5483236     11.1635447
012824.20+001925.1     11.3049841            NaN
012827.49-103249.6     10.8697786     10.5069561
012906.92-090123.5     11.7809362     11.1789007
012919.03-082344.5     11.0618391      9.1453323
012925.81-005900.2     12.0555973     11.9358463
012946.71+150457.2     10.8406334     10.4327049
013015.10+002557.2     10.5922003      9.4880333
013023.51+000551.7     10.7431793     10.5683746
013041.66+004000.3     11.7649965            NaN
013203.46-093153.6     10.5001926      9.6421852
013248.75+144127.2     11.0730038            NaN
013253.32-095239.4     10.5606413      9.8507938
013306.41+010012.7     11.4590712     11.7064667
013334.59+133229.0     11.2644234            NaN
013352.66+011345.1     10.8949175     10.3476133
013418.19+001536.6     11.8264027     10.9404249
013436.22+002624.4     11.8754950            NaN
013756.50+145606.4     11.1421413     11.0294962
013851.83+151953.5     10.9614496      9.8588648
013859.33+132108.2     10.7701368     10.1810980
013923.46-010632.0     11.2304907      9.6628246
013930.17+011518.3     10.9656210     10.7028780
014017.06-005003.0     11.6491566     11.1176167
014028.12+132320.7     11.5933352     10.9089403
014040.71+001758.1     11.0063009     10.7349472
014109.76+000626.9     11.0029259     10.1491785
014130.30-083721.1     11.0910454     10.3383131
014136.40-001019.7     11.1928711     10.4969215
014215.77-100725.7     11.0947580     10.5923958
014219.00+132746.5     10.8281975            NaN
014234.40-011417.4     10.2316837      9.4274454
014247.75-084517.4     11.6696997            NaN
