objname p  u g r i z j h k w1 w2 w3 w4
001247.93-084700.5         501      0.5209544      0.4571622      0.4802390      0.6535690      0.5438222      0.5526984      0.6815534      1.2232927      2.5299783      3.5171452      7.3978057     13.8535824
001327.31+005232.0         524      0.2463766      0.3224607      0.3853000      0.3562984      0.5819359      0.5215407      0.6455054      1.2210413      2.0432279      3.1288900      8.6676807     24.6128597
001340.17+145730.8         531      0.1599557      0.1714943      0.1895493      0.1740836      0.2018055      0.2306153      0.1352383      0.3078438      0.3372227      0.4307153      1.2031033      3.4447849
001340.74-111100.6         532      0.2532794      0.2401149      0.2956817      0.3221556      0.4151034      0.5598713      0.8239481      1.2471836      2.1873424      2.9606721      7.1565366     20.8911381
001344.93+150111.8         535      0.0979941      0.1278170      0.1400318      0.1461584      0.2381931      0.3183378      0.5319856      0.8708240      1.4332330      2.1173384      4.0504465      6.6490884
001346.52+003402.8         537      0.0815079      0.0932202      0.1202590      0.1393291      0.2140851      0.4426783      0.5930617      0.7986020      0.9592168      1.0849015      2.6031723      5.2138929
001502.38-094439.1         582      0.1000921      0.0889295      0.0981750      0.0988489      0.1736394      0.2800840      0.3044387      0.5474322      0.7993128      1.0759456      1.6653399      2.4909332
001504.34-005439.1         583      0.1353942      0.1929976      0.1740153      0.1901997      0.1720020      0.3116651      0.3030399      0.3801284      0.7303261      1.1297706      2.3675704      5.8017912
001545.36+000822.6         607      0.0317395      0.0509832      0.0843871      0.1083318      0.1558268      0.2881962      0.4498833      0.4524081      0.3759385      0.3838754      0.4807319      4.5411105
001630.43-093853.5         631      0.1676486      0.1779353      0.2137987      0.2619399      0.2621626      0.3230637      0.4629135      0.5057436      1.0287664      1.4014909      3.9147398      8.9776382
001725.37+141132.6         662      0.6804558      0.7588014      0.6587674      0.7126718      0.6952258      0.6054639      0.8635746      1.1954471      2.9806898      5.2358875     15.3004045     38.0506516
001744.64-091355.5         674      0.0044055      0.0090658      0.0506560      0.0865473      0.1160516      0.2795685      0.7507578      0.5276311      0.4210336      0.2832633      0.5295451      2.3483460
001855.22-091351.1         722      0.2847079      0.4401326      0.5226320      0.5351430      0.6022516      0.6264526      0.6587185      0.7508106      1.6200067      2.8509545      6.6727200     16.2316284
001931.57-085938.4         748      0.0952357      0.1390971      0.1555496      0.1785589      0.1847661      0.1881431      0.5033845      0.4616686      0.8362128      1.3822618      3.5735750      8.9941912
002019.22-110609.2         782      0.2810607      0.3573714      0.3433840      0.4095902      0.4330022      0.4546615      0.5208346      0.8716264      1.6669278      2.7402508      7.4456549     24.3199177
002043.58+141249.4         795      0.1860371      0.2415326      0.2058467      0.2146742      0.1897107      0.2970901      0.3387660      0.2828332      1.0942506      1.7417680      3.3014362      5.7327380
002141.01+003841.7         830      0.0624022      0.0746506      0.1331123      0.1598373      0.2410244      0.3959936      0.5611770      0.9194548      0.7789629      0.7946764      2.2610123      4.3728251
002149.25+144705.2         837      0.1554534      0.2117954      0.1791261      0.1765282      0.2497789      0.2025295      0.3292303      0.4103273      0.4834113      0.7294412      1.9458210      4.4870625
002249.22-103956.2         864      0.2932242      0.3851264      0.3952032      0.4196000      0.5425432      0.5624556      0.7229360      1.1280552      1.7089006      2.8404706      7.3434968     17.5696087
002303.15+011533.6         870      0.2598959      0.3224033      0.3409571      0.3135091      0.3173585      0.2924746      0.4080373      0.4009871      0.5606822      0.8139361      1.9315364      3.8651121
002314.84+143816.2         878      0.1721868      0.2269162      0.2421732      0.2514130      0.2728067      0.3949010      0.4095433      0.4781128      1.1228372      1.8594748      3.1644840      5.8446984
002330.58+154744.9         888      0.6564471      0.6762726      0.5649246      0.5545849      0.7058411      0.5258819      0.6284922      0.9592468      2.1395221      3.2254498      5.8654714     12.8932409
002332.34-011444.2         890      0.5219151      0.6520031      0.5767958      0.6178856      0.7030454      0.5040669      0.6170209      0.8525707      1.9638883      2.8562112      4.9648132     11.9994707
002444.12+003221.2         953      0.5964857      0.7214210      0.6666941      0.6652336      0.9624522      0.7199266      0.8239481      1.1833968      2.6273432      3.9245539      6.2733989     13.0846491
002537.12+154402.4         980      0.1411236      0.1556893      0.1333475      0.1397866      0.1919714      0.1455085      0.3250124      0.4392688      0.5438972      0.8079608      2.7561505      7.0723233
002614.28-005920.8        1000      0.0203236      0.0335678      0.0602561      0.0859578      0.1344696      0.2182168      0.4412654      0.5232754      0.5550304      0.5667484      1.0881854      3.3293703
002620.87+011518.0        1009      0.1068562      0.1308992      0.1480793      0.1540805      0.2264015      0.3079557      0.4693533      0.5758778      0.6425646      0.8260195      1.5456207      2.3118629
002712.59+005159.8        1033      0.0288669      0.0355968      0.0714287      0.1059561      0.1536456      0.3201019      0.4095433      0.5227937      0.5208549      0.5014069      1.6963010      4.4336572
002752.39+002615.6        1047      0.1282329      0.1579915      0.2076912      0.3062513      0.2929955      0.4173383      0.7110496      0.9434749      1.9174180      2.6048956      7.6542549     18.0784874
002815.78+004247.5        1061      0.0351560      0.0741244      0.1527392      0.1870973      0.2330703      0.4173383      0.5329664      0.6449564      0.4486594      0.3888573      1.6289319      6.4738421
002831.71-000413.3        1071      0.1856947      0.2480947      0.3270499      0.4199983      0.5339972      0.6559764      0.9304646      1.4788713      3.1938667      4.1019492      9.1012888     20.2470665
002916.62-104620.5        1099      0.0626902      0.0798305      0.0845867      0.1018141      0.1540009      0.2342546      0.3593353      0.5281173      0.6545107      0.6465324      1.3611404      4.5160847
002959.03+150817.2        1141      0.1157710      0.1602720      0.1942112      0.2500908      0.2898469      0.4584460      0.5052425      0.7549712      0.6784484      0.7416351      3.6804669     10.2132063
003036.15-011443.0        1162      0.2491148      0.3540613      0.3324368      0.3308125      0.3301737      0.3327271      0.4076616      0.3596916      0.8201944      1.2617993      2.8022244      5.2138929
003043.59-103517.6        1163      0.0408884      0.0530128      0.0932556      0.1189827      0.1697045      0.3131037      0.4710856      0.5920118      0.6872532      0.7652270      1.3800757      4.2930117
003100.83-004431.0        1177      0.1509385      0.1912957      0.1655335      0.1879698      0.1895987      0.1911121      0.2536879      0.3864830      1.0165220      1.3200498      2.7944922      6.6063581
003151.45+010527.9        1218      0.0947982      0.1237515      0.1093396      0.1323098      0.1543536      0.2858171      0.2997091      0.4910553      0.6834658      0.9501459      2.0225670      3.3049288
003242.74+003110.9        1255      0.1357687      0.1424735      0.1412450      0.1376454      0.2530433      0.2025295      0.3121044      0.3563940      0.4202588      0.5631062      1.0881854      2.1635258
003319.52-101924.1        1285      0.1094461      0.1432568      0.2225097      0.2723930      0.4181558      0.5760872      0.9076113      1.4518789      2.4407134      3.7548301      7.9708185     22.5093060
