# 
#objname redshift EW(H-beta) EW(OIII) sample-id flux(OIV)   w1mpro  w2mpro w3mpro  w4mpro w1flux w2flux w3flux w4flux
PG0007+106      0.0890000    101.0000000     42.0000000 pg      0.9076732      10.3430000000000000       9.4209999999999994       6.7209999982118607       4.5449999994039532     200.8916263423449209     190.0874756936850645     161.0576038828377534     171.7685540276467009
PG0026+129      0.1420000     65.0000000     29.0000000 pg      0.0895140      10.9789999999999992      10.0129999999999999       7.4659999982118608       5.7019999994039532     111.8309037610879386     110.1928722584373475      81.0926016049300102      59.1757348458122863
PG0049+171      0.0640000    136.0000000     97.0000000 pg      0.0557603      11.8989999999999991      10.9309999999999992       8.2579999982118615       6.6659999994039536      47.9249683415226571      47.3100604994054024      39.1004030027140175      24.3525060389738073
PG0050+124      0.0610000     51.0000000     22.0000000 pg      0.1195706       8.8650000000000002       7.8090000000000002       4.6049999982118610       2.4829999994039538     783.7216328844555164     838.9836615509771036    1130.7881108046724421    1147.4761291587115011
PG0052+251      0.1550000     87.0000000     30.0000000 pg      0.1054750      11.0410000000000004      10.0299999999999994       7.1459999982118605       5.1159999994039538     105.6238113648274037     108.4809559030737915     108.8883040426121624     101.5181417842462253
PG0157+001      0.1630000     79.0000000     47.0000000 pg      1.2237226      10.7899999999999991       9.7919999999999998       6.1929999982118611       3.2419999994039537     133.0950288342981196     135.0683216609297403     261.9275819350185657     570.3529073867017587
PG0804+761      0.1000000    119.0000000      9.0000000 pg      0.1461181       9.2110000000000003       8.2340000000000000       5.7579999982118606       4.0739999994039540     569.8516822185846422     567.2225702066440363     391.0040300271405727     265.0596741376399450
PG0838+770      0.1310000    102.0000000     13.0000000 pg      0.0552715      11.5559999999999992      10.6489999999999991       7.5279999982118611       5.2239999994039534      65.7297279329856678      61.3413745363943477      76.5916161538040114      91.9059565924596882
PG0844+349      0.0640000     76.0000000      8.0000000 pg      0.1662995      10.6760000000000002       9.7620000000000005       6.8729999982118608       4.8629999994039537     147.8297473480139956     138.8524360280246128     140.0171500454910927     128.1573916362865475
PG0921+525      0.0350000    145.0000000     83.0000000 pg      0.3968057      10.3910000000000000       9.4139999999999997       6.5549999982118603       4.8239999994039540     192.2037402302356668     191.3169741155653014     187.6641143777490299     132.8445248271900141
PG0923+201      0.0290000    159.0000000      7.0000000 pg      0.0250598      10.4309999999999992       9.5609999999999999       7.1999999982118608       5.5399999994039533     185.2515432829832775     167.0911713022925653     103.6051237105587006      68.6979313574127417
PG0923+129      0.1920000     76.0000000     31.0000000 pg      0.0283935      10.3580000000000005       9.4309999999999992       5.9889999982118605       3.9049999994039535     198.1352898965451743     188.3447432413306615     316.0685132961363024     309.7017502336422012
PG0934+013      0.0500000     92.0000000     51.0000000 pg      0.2429333      11.9160000000000004      10.9420000000000002       7.4639999982118610       5.1819999994039536      47.1804234771168609      46.8331644486201739      81.2421173642412526      95.5308539048322842
PG0947+396      0.2060000    110.0000000     15.0000000 pg      0.0508762      11.4819999999999993      10.3309999999999995       7.5219999982118608       5.5649999994039536      70.3658332257896575      82.2154623440498540      77.0160487368776216      67.1341755251310275
PG0953+414      0.2340000    156.0000000     18.0000000 pg      0.0200071      10.5519999999999996       9.6419999999999995       7.3799999982118605       5.6809999994039533     165.7150051491419163     155.0791826645023264      87.7771010530133395      60.3314356196015211
PG1001+054      0.1600000     89.0000000      7.0000000 pg      0.0096053      11.3279999999999994      10.3030000000000008       7.6459999982118605       5.9069999994039533      81.0889794588570538      84.3632891068652100      68.7038751636784326      48.9940859475091628
PG1004+130      0.2410000     43.0000000      6.0000000 pg      0.1411826      11.4589999999999996      10.4019999999999992       7.1999999982118608       5.1139999994039531      71.8723482637128939      77.0111313279858791     103.6051237105587006     101.7053174544349190
PG1011-040      0.0580000     45.0000000     15.0000000 pg      0.1487594      11.1829999999999998      10.2989999999999995       6.9519999982118605       4.7959999994039535      92.6748378137405098      84.6746681791507712     130.1910811782504993     136.3150037077115542
PG1012+008      0.1870000    104.0000000     29.0000000 pg      0.2776653      11.4930000000000003      10.4510000000000005       7.4799999982118610       5.4749999994039538      69.6565298002315245      73.6128281662314947      80.0536676075871014      72.9362885109080139
PG1022+519      0.0450000     69.0000000      7.0000000 pg      0.1077809      11.1790000000000003      10.3620000000000001       7.5179999982118604       5.6789999994039535      93.0168942381421999      79.9012370870781012      77.3003096525042821      60.4426726526781977
PG1048+342      0.1670000    230.0000000     28.0000000 pg      0.0250326      12.2569999999999997      11.2240000000000002       8.2619999982118610       6.3119999994039535      34.4636947212041989      36.1204792065466620      38.9566168211464969      33.7398897950410159
PG1048-090      0.3440000     81.0000000     28.0000000 pg      0.1158289      11.9760000000000009      10.9840000000000000       8.5349999982118607       6.4779999994039539      44.6438699830230803      45.0560902888013288      30.2957168854983401      28.9563394881244456
PG1049-005      0.3600000    106.0000000     55.0000000 pg      0.3067874      11.2260000000000009      10.1090000000000000       7.0659999982118604       4.8389999994039536      89.0762313714962488     100.8680217507833419     117.2144714730209074     131.0218296154836253
PG1100+772      0.3110000     90.0000000     41.0000000 pg      0.3462684      11.4169999999999998      10.3279999999999994       7.6659999982118610       5.6359999994039534      74.7070925144072362      82.4429461974846021      67.4498881194430879      62.8845068866306462
PG1103-006      0.4230000     79.0000000      8.0000000 pg      0.1127736      12.1809999999999992      11.0329999999999995       8.0819999982118613       6.0359999994039537      36.9625423102362660      43.0678809034254328      45.9812987291764443      43.5054494551362154
