FORPRINT: Thu May 26 23:02:40 2022
saga-497           -NaN      0.0000000
saga-500      9.1076908      0.0000000
saga-504           -NaN      0.0000000
saga-505           -NaN      0.0000000
saga-506           -NaN      0.0000000
saga-516           -NaN      0.0000000
saga-519           -NaN      0.0000000
saga-520           -NaN      0.0000000
saga-537      9.8582468     10.1513815
saga-540           -NaN      0.0000000
saga-562           -NaN      0.0000000
saga-573           -NaN      0.0000000
saga-582           -NaN      0.0000000
saga-583           -NaN      0.0000000
saga-590     10.3218126            NaN
saga-592           -NaN      0.0000000
altas-10           -NaN      0.0000000
altas-14           -NaN      0.0000000
altas-64           -NaN      0.0000000
altas-598     11.5485334     11.2459412
cassis-26329600-0           -NaN      0.0000000
cassis-17726464-0           -NaN      0.0000000
cassis-4738816-0     11.6488352     12.2673235
cassis-15083008-0           -NaN      0.0000000
cassis-26328576-0           -NaN      0.0000000
cassis-26332672-0           -NaN      0.0000000
cassis-24153344-3           -NaN      0.0000000
cassis-15083520-0     11.2030420            NaN
cassis-17725952-0           -NaN      0.0000000
cassis-15082496-0     10.8768559      9.9817390
cassis-24151040-0           -NaN      0.0000000
cassis-24172288-0           -NaN      0.0000000
cassis-15078912-0     10.2812157            NaN
cassis-4164352-0           -NaN      0.0000000
cassis-4674304-0     11.4797831     10.6389694
cassis-24193536-1           -NaN      0.0000000
cassis-17728000-0           -NaN      0.0000000
cassis-17726720-0           -NaN      0.0000000
cassis-17726976-0           -NaN      0.0000000
cassis-17727488-0           -NaN      0.0000000
cassis-17728256-0           -NaN      0.0000000
cassis-17729536-0           -NaN      0.0000000
cassis-24145408-0           -NaN      0.0000000
cassis-17729024-0           -NaN      0.0000000
cassis-26330368-0           -NaN      0.0000000
