#  status file of the mid-IR spectra
#   there are three different tags for each object (see below), only when the combined values 
#                 tag_wave + tag_galsub + tag_visual = 3
#   then the object is used to compute the average templates
#
#         tag_wave:   1 -- complete Spitzer/IRS coverage from 5.2 to 30 microns;  
#                     0 -- no mid-IR spectra or the wavelength coverage is not complete
#         tag_galsub: 1 -- successful galaxy subtraction 
#                     0 -- subtraction cannot be done due to data issues
#                    -1 -- unsuccessful as some negative flux values appears after the subtraction
#         tag_visual: 1 -- quality check passed after visual inspection
#                     0 -- not passed with the reasons left in the 'comment' column
#
# objname        tag_wave  tag_galsub  tag_visual    comment
saga-474               1     1     0     # strong PAH, possible obscuration
saga-475               1     0     1
saga-481               1     1     1
saga-483               1     1     1
saga-485               1     1     1
saga-490               1     1     1
saga-493               1     0     1     # strong PAH
saga-497               1     1     1
saga-500               1     0     1
saga-504               1     1     1
saga-505               1     1     1
saga-506               1     1     1
saga-516               1     0     1
saga-519               1     1     1
saga-520               1     0     1
saga-532               1     1     0    # strong PAH, highly variable
saga-537               1     1     1
saga-540               1     1     1
saga-541               1     1     0    # obscured 
saga-544               1     1     0    # obscured
saga-562               1     0     1
saga-565               1     1     1
saga-569               1     0     0    # strong PAH
saga-573               1     1     1
saga-574               1     1     0    # obscured
saga-575               1     0     0    # obscured, with strong PAH
saga-577               1     1     0    # strong PAH
saga-578               1     0     1
saga-582               1     1     1
saga-583               1     1     1
saga-590               1     1     1
saga-592               1     0     1
altas-8                0     -1    1
altas-10               1     1     1
altas-12               1     1     0    # obscured
altas-14               1     1     1
altas-38               1     1     1
altas-63               1     1     1
altas-64               1     1     1
altas-71               1     1     1
altas-72               1     1     1
altas-77               1     1     1
altas-78               1     1     1
altas-79               1     1     1
altas-80               0     1     1
altas-109              1     0     1
altas-115              1     0     1
altas-122              1     1     1
altas-130              0     -1    1
altas-135              1     -1    1
altas-136              1     0     1
altas-144              1     1     1
altas-145              1     0     1
altas-146              1     1     1
altas-150              1     1     1
altas-165              1     1     1
altas-169              1     1     1
altas-191              1     1     1
altas-206              0     -1    1
altas-212              0     -1    1
altas-310              0     -1    1
altas-572              1     1     1
altas-598              1     1     1
altas-603              0     -1    1
altas-605              1     1     1
altas-606              1     1     1
altas-607              1     1     1
altas-608              1     1     1
altas-609              1     1     1
altas-610              1     1     1
altas-611              1     1     0    ## obscured
altas-614              0     1     1
altas-617              0     1     1
altas-618              0     1     1
altas-36               1     0     0    ## obscured
altas-58               1     1     1
altas-81               1     1     0    ### obscured
altas-247              1     1     0   ### obscured
altas-268              1     1     0    ## obscured
altas-278              1     1     0    ## obscured
altas-442              1     1     0    # obscured
altas-511              1     1     0    # strong PAH
cassis-26329600-0      1     0     1
cassis-25387776-0      1     -1    1
cassis-25391104-0      1     1     1
cassis-17726464-0      1     0     1
cassis-10493696-0      1     1     1
cassis-25389568-0      1     -1    1
cassis-26702848-0      1     1     1
cassis-25387264-0      1     1     1
cassis-25388800-0      1     1     1
cassis-4733952-0       1     1     1
cassis-4738816-0       1     1     1
cassis-21768960-0      1     1     1
cassis-24169984-0      1     1     1
cassis-4732160-0       1     1     1
cassis-15083008-0      1     1     1
cassis-24158208-3      1     1     1
cassis-25977344-0      1     1     1
cassis-27446272-0      1     1     1
cassis-26919936-0      0     1     1
cassis-25977088-0      1     1     1
cassis-26328576-0      1     1     1
cassis-25977856-0      1     1     1
cassis-27450368-0      1     1     1
cassis-26335488-0      1     1     1
cassis-26332672-0      1     1     1
cassis-24153344-3      1     1     1
cassis-24143104-3      1     1     1
cassis-24143104-4      1     1     1
cassis-25390848-0      1     1     1
cassis-25390592-0      1     1     1
cassis-26920192-0      0     1     1
cassis-25390336-0      1     1     1
cassis-25390080-0      1     -1    1
cassis-25389824-0      1     1     1
cassis-25388288-0      1     1     1
cassis-21768448-0      1     1     1
cassis-26917632-0      0     1     1
cassis-15083520-0      1     1     1
cassis-17725952-0      1     1     1
cassis-15082496-0      1     1     1
cassis-10950400-0      1     1     1
cassis-10950913-0      1     1     1
cassis-24151040-0      1     1     1
cassis-24147712-0      1     1     1
cassis-24172288-0      1     1     1
cassis-24163072-0      1     1     1
cassis-24192768-0      1     1     1
cassis-12236800-0      1     1     1
cassis-17728512-0      1     0     1
cassis-15078912-0      1     1     1
cassis-24161280-2      1     1     1
cassis-24154624-2      1     1     1
cassis-4732416-0       0     -1    1
cassis-4164352-0       1     1     1
cassis-4674304-0       1     1     0      ## highly variable, BL Lac, non-thermal continuum
cassis-24190464-1      1     1     1
cassis-24193536-1      1     0     1
