objname u g r i z J H K W1 W2 W3 W4 W3(AGN) W4(AGN) 
PG1211+143 5.7794762 6.5457754 6.1412110 7.1015973 7.8387074 8.7435588739725176 12.3111857322177798 20.2829161731068517 33.0762899426456158 51.4505832021623632 149.2460721353976112 245.4494666100653433 145.4429169 249.3978271
PG1216+069 2.4640241 2.7240899 2.9520488 2.7627990 4.3744793 2.2976730484022831 2.6345101331733214 3.1646842360985543 7.3844268076509207 9.5893749901135656 18.8236097360364560 21.6352587047503455 16.0228176 23.2370319
PG1226+023 9.1777124 23.1318169 25.5884781 32.1244926 18.5163746 31.3392246033057518 39.0391084341929329 68.1601289858267592 135.7427959364797232 184.0730896356674293 323.5213231961175211 502.9931754773816692 370.0591125 650.5591431
PG1229+204 1.3486677 2.2484879 3.3645980 5.1967077 5.6149764 4.5676017898576768 6.0687588244189552 9.2454997392957203 13.2897493559302511 18.3565178920738674 66.1763653113373636 143.3382482672091101 63.6453247 141.4284821
PG1244+026 0.9353578 1.3503770 1.6616930 2.0473542 2.2498474 1.8658994155768605 2.5136214458250241 3.5280146872987834 6.8346580392589722 9.9951726891836064 47.8964041984788906 103.2671265256130084 41.5774765 90.3170242
PG1259+593 1.8837054 2.1387978 2.0319257 2.1636832 2.1345875 1.9377075387759466 2.6248220959948352 3.9366824595066707 8.9272313612163341 13.2736481652583969 21.9534565991715347 20.8143135553490382 20.1337032 21.2622433
PG1302-102 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 3.2395764427452574 3.4889912088574566 4.8164869338095677 8.6281321903917334 13.4707042702858555 43.2019062531838784 94.2675223657270891 42.6135674 91.9147034
PG1307+085 2.2331173 2.0712597 2.1046619 3.2557352 2.3988678 3.4680730179856232 4.1908283808822420 7.1438181206085369 9.3307550869762803 13.2736481652583969 37.7313991699235487 69.3046050079307179 33.6533699 74.1090698
PG1309+355 1.5818945 1.8179344 2.2765760 2.9993997 2.5917981 3.3334061506737966 3.6299435845769183 5.7587786730315589 10.0627524810532822 15.7975704914772752 49.5567606308013069 105.7698997356689006 52.2878761 113.4770126
PG1310-108 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 3.9236316894547714 4.6590768819724229 6.3786737268673086 10.5758867169888013 17.1470850486679680 74.6625657436901804 125.0725754181631828 67.6352463 116.8410645
PG1322+659 1.2048106 1.3199517 1.3650094 1.8580791 1.5874107 1.8556165130719158 2.5935813420492164 4.8298137824683494 7.6333783751963145 11.3185371838336426 26.3210318178700717 43.6879928715678574 22.9533634 39.1873665
PG1341+258 1.0645256 1.3212043 1.7814736 2.6539834 2.7374051 1.9737322121064875 2.8151391969462023 3.8577171790688296 6.8788650615401457 8.5151107704243696 22.6518099999106646 42.3410957188260824 20.9679470 41.6943665
PG1351+236 0.8988060 1.9036903 3.1478667 4.4069448 5.4025588 5.1818905445746761 6.3606262769885982 7.3507286163470740 8.0670879213603559 7.8811628577540453 29.2619261667144350 50.5780513092866855 11.6696072 11.2257652
PG1351+640 4.8647451 5.6184173 5.8997970 7.8577809 7.1253991 6.4045443391742172 7.3909434607383444 11.9214859788354186 24.8608967700765824 37.6175322471162943 173.7412373600921285 412.2513558487417527 145.9819183 381.5820618
PG1352+183 1.0894681 1.0173901 1.0168022 1.5271125 1.1901189 1.5881379642426856 2.0792172606837513 3.6908839038190995 7.0650752235348682 10.0320641811138191 20.7923180708294488 32.1782256362917636 25.7496834 31.8626461
PG1354+213 0.7022366 0.6931694 0.6969936 0.6456392 1.1232688 0.6505612955888171 1.0712722804271726 1.5802666660808737 3.5214115977472109 5.2262514606560000 14.2660226815750661 29.8100080056561865 13.1989021 27.4793873
PG1402+261 2.9862244 2.7833507 2.5072744 3.0570948 2.4955485 2.7446579657174341 4.5572187640957056 9.0517049777190213 19.3515960663837774 28.3785565667133142 69.1676324138898622 104.1266970715436457 66.0832291 105.1413879
PG1404+226 1.1711341 1.4518276 1.4141665 1.9819226 1.6372749 1.9146448540592031 2.4859928370975832 3.7977850882220898 5.7745319718292381 7.6452255396546249 20.3940232542625317 29.1046306760514533 17.0980816 23.7953854
PG1411+442 5.5818205 6.1745706 5.9522228 6.3326769 7.5516939 7.6223386115621405 10.2683315303142315 16.6698001994846443 29.9720735900965529 44.1967466599958243 100.9957061734956341 121.2165984175251481 91.2552948 122.5543747
PG1415+451 0.7893151 1.1135782 1.5629958 2.2936091 2.5224638 3.7435896092958174 5.5245877759780777 8.4943546649546544 10.3542057400426177 13.2614283118147291 33.8144953347122623 58.3931753990505058 28.4333267 48.0058250
PG1416-129 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 1.1315877189392376 1.4057233838899883 3.0586542244964359 4.5197747358006035 6.1971256521088547 13.8644584372718054 26.9874650346866858 14.7483091 27.2536144
PG1425+267 0.8104789 0.8546775 0.8413507 0.8041651 1.4954824 1.3405660805488795 1.7198868287449252 2.4724663075506141 4.7327851566160293 7.5126006228559161 21.5130957498538713 42.8511116230373617 20.8068733 41.3860931
PG1426+015 5.3378568 5.5833497 5.9539943 9.7383327 8.3458052 9.7026024987039765 14.1221195677104507 23.8303486760619805 28.9145734702602866 38.2111670299789878 110.8416316395476002 185.6787025013425705 101.9522705 178.1861420
PG1427+480 0.6061474 0.5951455 0.6578298 0.9037409 0.7144789 1.3112582280894334 1.6607332097712655 2.6985494620896948 3.6300849657188068 5.5486879565818175 16.3494410671604733 41.7217092905046414 15.7390795 40.5003090
PG1435-067 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 2.5170290654897371 3.2322122706456691 5.8335159238673704 7.5147889871591964 11.8738156512607400 29.3428916631495404 37.9107252413996250 28.1038189 39.7505417
PG1440+356 3.3835118 3.9522438 4.9544253 5.9728346 6.4704475 10.6681285425394385 16.2143627582587797 25.1148389258509219 35.3115507247746905 43.9127162935219602 95.0392302489208589 175.0499909567689372 67.5294724 138.3494263
PG1444+407 1.6790811 1.6842676 1.7212725 1.4448531 1.8197398 1.8624654655381017 2.5509378228222399 4.5827945310133389 8.7079673146039926 12.9238021838766350 37.3510581797664969 60.8642244760506159 34.6468391 59.7295303
PG1448+273 1.4940308 2.6394753 3.3202415 4.5733328 4.5541763 5.5576121553442519 7.2027755198128602 10.0538034646244636 11.3114111950077625 15.0449345212029364 52.5173628772930101 105.4780500932307632 45.4712906 84.5561142
PG1501+106 4.6891708 5.7106872 7.7126555 10.3386774 10.8516674 9.7294488530849641 12.7967558345851717 17.1842425781197328 26.0565426522295560 37.1698066456899170 187.7166997071013839 401.0163619001530151 190.4069061 438.8996277
PG1512+370 0.7327526 0.7954469 0.7605597 0.7243288 1.2873528 1.0707503501237259 1.3474103189414368 2.2117212032103559 4.1640581936668459 6.6464585695448148 15.9625735064977654 30.9002570826735266 14.7069292 27.9797840
PG1519+226 1.0531379 1.1521313 1.2526908 2.0113606 1.7619027 2.3040305328934116 3.7661696188823930 6.8285797954303264 12.2100316654988514 17.0683013492314757 41.4097787568610656 59.8083873833075970 40.1373405 60.3358307
PG1534+580 2.1143353 3.4661274 5.1070619 6.2072792 7.3077807 5.7396873449870593 7.0453063093829105 8.9439711665671169 20.7547157714992387 27.1013111232011177 87.3982849056517495 170.9078822010452825 84.4578629 163.5464783
PG1535+547 2.1637590 3.2429664 3.9617150 5.0324821 5.5612297 6.1672028932964009 9.4427802195025681 14.7750988021460419 26.5165360652695554 33.0666578728271148 61.7025212364036122 74.0563140893683709 56.9810486 75.8544083
PG1543+489 0.9690097 1.0820507 1.0979261 1.0918901 1.3541281 1.3368670722481002 1.9746942950535202 3.6942848995485313 8.0004937494174069 12.4334113427286930 44.9472277128621513 98.1662255023574062 42.2861214 93.4467621
PG1545+210 2.1343944 2.2479906 2.1760788 2.2436752 3.0235500 1.8590378352466832 2.1792139589827197 3.5410363459890886 7.8400131341421400 11.3498547046553142 20.4128154966540620 35.1529755962081012 19.6802883 35.7671967
PG1552+085 1.1627859 1.5967593 1.7318722 2.4544508 2.0957105 2.8740097125102477 3.5342712284493629 5.4141512892465249 8.6599780302759495 10.9493995051103710 23.0729385897471531 28.4945690202698110 22.5143280 28.5214024
PG1612+261 1.1119734 1.2682949 1.6365082 2.6030989 1.9726917 2.9956304174451751 4.2884453154795104 7.4736092817553139 11.8882188181537547 14.9482482583314731 42.0632582264667718 95.7551393577979155 38.5479202 89.3037262
PG1613+658 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 8.6394926319945924 10.4496051935510810 18.1271861690564720 25.9368237134803863 37.3413746778549793 105.4636772908270643 187.2242470424429257 90.1472549 167.3411560
PG1617+175 2.5625682 2.2827959 2.1449060 3.4381099 2.7237864 2.9113085213348211 3.9255442382370762 7.1834056025746609 20.8 23.5174539305058552 43.3613615047809091 50.2993175477381698 38.2630615 49.8781204
PG1626+554 2.2628784 2.0563712 1.9507684 3.0945261 2.2996612 2.7547883088194247 3.4347875105595964 5.6745364174643029 8.9932525651547248 11.7216918999674391 18.9628194559322161 18.2625783714963994 31674.0000000 8363.0000000
PG1700+518 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 4.7477542883185224 6.3664873290748378 10.7530184673231624 23.9837335256129585 36.3237185498988921 98.3338198931216141 174.0852969605521139 99.6651993 181.9548035
PG1704+608 2.0706995 2.4643366 2.9160061 3.0797174 4.2879696 3.4937210996980448 4.1792646771656168 7.0913739713283244 15.1745838671327782 22.3352234634559039 43.9645781307415078 97.7151926659981882 40.4757080 97.6844025
PG2112+059 1.4675893 2.0100615 2.2585607 2.5986967 2.7987847 2.3533592559225660 2.9998523121598244 4.8031968577683610 11.6712343708939184 19.5970320069202479 47.9847139468441313 71.3776249019460209 44.2763557 68.5232315
PG2130+099 4.8072891 5.1926923 4.7828317 7.8050117 6.8877225 11.6866016401351658 20.4691536787057977 36.0023126844679879 47.1972603810361093 66.9561235294449375 181.0935199047830224 301.1355945811821471 177.2967072 312.5700073
PG2209+184 1.4054803 1.9075706 2.8476861 4.6581235 5.1180754 4.0076356720905784 4.9192611355299229 6.3552170593687904 10.6541005265698168 12.6063773239402028 22.4855186879806190 21.4566586755626503 15.4969559 16.4951115
PG2214+139 4.2671804 5.1825223 6.7425513 10.4786291 10.0517979 7.7927050356867928 11.7246498874482885 19.3878832346709054 38.1168313196549917 48.7293144948028427 82.8519835301076455 98.9833373838048658 76.1003799 97.8122025
PG2233+134 1.1110716 1.1439896 1.1497738 1.0165968 1.4154885 0.9729448519255984 1.1617157250974230 1.9821219946995998 5.2277738285696929 8.2298193437925864 24.1825954242988246 51.6133552883311779 22.5797100 52.0937843
PG2251+113 1.6332099 1.9323725 2.4583991 2.2657797 4.5203657 2.6649448811680934 4.1792646771656168 6.6241535126488351 12.5984405294157717 16.0173365882865752 28.2815306219973657 44.6644605135698640 24.9913254 43.6158562
PG2304+042 0.4423340 1.6778795 3.5217144 5.3035998 7.1192718 3.8840805989377447 4.9693533355994690 6.3963230261532642 7.3912312491660597 7.2009583988714052 16.4703531102450924 25.9634315892258130 19.2421093 30.0775471
PG2308+098 1.2968386 1.6590495 1.4345814 1.5806280 1.9827476 2.3971114717381483 2.7714042183912624 3.3754399343840862 5.6068222774723138 8.2983223664316377 15.5132542455974782 22.3029387998252844 13.9883204 21.6913624
saga-1 0.6173930 1.1069255 1.6817988 2.2637730 2.7479582 2.8060036480458512 3.7385214399432511 4.8209251258306631 4.5448210758879464 4.6151976194384652 14.5446377844537889 37.3905705909937538 8.9522562 23.8770924
saga-2 0.3259596 0.5976883 0.9920839 1.5528967 1.6226189 1.7317620896717172 2.2609964078330784 3.3168847688435457 4.4495571606145319 6.0952328605824011 31.7909063839092596 80.3826079944601304 25.4867058 66.1298294
saga-6 0.1181266 0.1833189 0.3459010 0.5588627 0.5857337 0.7966879035984307 2.1237327872383860 9.9067314674219720 42.3756907215010301 86.4948603725598844 201.1420676516498247 238.5404821107482007 192.8208160 245.5453644
saga-16 2.4674392 7.0063624 12.0491877 17.0523872 21.2479305 11.3995639796567385 14.6116709820607529 16.0668372414556124 27.3348559921410477 25.4794648351423803 150.4883602867157038 252.0937581509060692 22.9531250 8.3795395
saga-21 0.5435805 2.1958203 4.3978286 6.8959589 8.7841711 4.1849303451291053 5.2420345351112712 6.9876378542913491 10.8122677106173679 11.8957081855719586 41.9085765654042959 91.8675411707675522 35.7159882 89.4028091
saga-22 0.2694371 1.4438453 3.1680188 4.6474080 6.3883324 3.1892475615289233 4.1295228757489904 3.5969167360189456 3.8469522017459954 2.4512652126720331 4.6334332423844486 10.5187005748084275 1.6229682 5.8176341
saga-23 1.4068220 4.3947825 7.7835102 11.4575443 14.1578693 7.7927050356867928 11.6385769669771051 14.5858046818056657 19.0334182119416582 19.4352576303716944 37.1452178859085933 74.5353152490759641 39.2184715 80.6292191
saga-25 1.2961419 4.6022563 6.9581919 10.5703316 12.7938347 3.6718779149257506 4.9922908287584251 5.7960268366491778 10.1278390326531724 16.7259310420953931 111.9703176255110719 345.7499234800012005 106.6392822 348.1842041
saga-46 0.1050507 0.2924344 0.6254625 1.1381445 1.4647150 2.2023595896965951 4.2844973297121980 8.4242333858746434 15.5566754097578350 22.1100793873188266 54.9924299371620435 107.3401240034483806 46.4861526 97.6001434
saga-52 0.1076092 0.2397175 0.3606419 0.5657260 0.6017117 0.6457853994047633 0.9076112417446444 1.3587212831138671 2.3459394051837257 3.3066657872827077 14.9796929077745116 34.3844508497969485 15.2489347 39.6946526
saga-54 2.3132346 5.6314116 10.4591084 16.0592995 19.4115372 29.0 39.7 37.5 69.3612306798679867 85.8598848979015941 112.0 253.0 95.4219666 200.8497162
saga-58 0.0401610 0.2246356 0.5517428 0.8890803 1.1789116 1.2047258407667309 1.8599440111646770 3.8012845889387008 9.3651942594346487 19.9613680336698351 46.0789856393991570 108.6330799242236509 43.8348999 106.6470184
saga-59 0.0793809 0.2141486 0.5031482 0.9049324 1.0201927 1.4930977026209433 2.3072777206214274 4.4784773901623387 12.5405559531615047 18.8360702691645514 67.2206813497784879 134.6362766167466418 63.1679306 132.6873322
saga-61 0.0304378 0.1155313 0.3235555 0.5870913 0.7793790 0.8576068152850065 1.4584779563663912 2.3481745773054437 3.3940387020348206 4.6322319950344077 14.9796929077745116 25.2558559981425610 10.8641577 14.8755312
saga-65 1.0348697 5.4877453 11.5800982 16.8377342 23.2003670 9.5871216751629564 14.4643820499294087 18.2612455010454404 19.9855815572452435 21.9275596921395461 93.7352431246918911 186.3640297656083078 92.9642868 183.1854248
saga-67 0.6156645 1.6842455 3.0528750 4.3824425 5.6825662 1.9359236657819994 2.5864249033982705 3.0699435061160498 5.6587015652579753 6.6037451074480629 21.8324719155296059 34.5749923480001513 12.3672400 21.9697552
saga-71 2.0752947 5.1926069 9.6678648 13.4250746 17.5444374 5.9880888573011095 8.6916029984645480 9.9067314674219720 19.0860822144959315 21.5869011059639142 84.7038031188597245 183.8070194173836853 77.1977768 179.2954865
saga-72 0.0917790 0.3711649 0.7076127 1.0449538 1.2789202 0.9164066332016594 1.0653685386049070 1.1943465996595906 1.8514704724652153 2.7051434615271810 11.7247316119999461 22.9277845823377042 11.8393946 24.9112320
saga-73 0.2841245 0.4092903 0.6262190 0.8980307 0.8630925 0.7360176392098161 0.8308064621296229 1.1511459163865585 0.9860905350100927 1.0779293619765569 3.6132907575108089 9.1529711329115404 3.4396524 8.6338110
saga-75 0.5711142 2.0449212 4.0490351 5.7006383 7.6362472 2.4326981809191617 3.3473403670640618 3.0111360850522342 3.1997554705759721 2.0501720190883646 5.1606322274767740 5.3797499806496676 0.2122928 NaN
saga-79 0.0993830 0.2857763 0.5718753 0.8931063 0.9936553 0.6475722379038996 0.6514781647991880 0.6587647822187147 0.7633378375196315 0.7307861399228184 4.2140813020225618 13.6760944878071964 2.3352499 9.6052551
saga-81 0.1146464 0.3493723 0.6310937 0.8913509 1.0839968 0.7387342295126662 0.9160092652921443 0.7934697505508311 0.7971073069359360 0.6089621528163912 3.1067257006277811 5.7751343601257288 0.2254525 NaN
saga-106 0.0899268 0.4652289 1.0237706 1.5852659 2.0429206 1.4821365838628489 1.6745567509228054 1.6746743927736676 1.2820849148066931 0.8745613933632022 2.4609506805208201 6.6429669639833371 1.1314359 1.9525406
saga-118 0.1989872 0.4519651 0.8459911 1.4083574 1.4793580 0.9892093771244014 1.3387511871888660 1.7089540267978924 1.7535444948427130 1.3670685803804801 4.0059258865599547 9.7176687869803544 0.1242188 1.0077286
saga-120 1.3548062 3.9155259 6.7066212 9.5778799 11.6032009 3.2575285618837668 3.5538563993142267 3.5573810273744599 6.5030454639066031 4.6194503316800910 28.4120722361005313 36.5058187039473623 NaN NaN
saga-125 0.1185164 0.3420753 0.6432109 1.0756543 1.3409897 1.4063331914362440 1.6289204298464517 2.1474861978023210 2.3632887644228799 2.6508814246190959 14.0314615387796575 32.8974391786316076 12.2834063 27.8845882
saga-126 1.3902330 6.8232536 14.4346867 20.8887615 28.4645596 10.5703225507196841 14.2265594900381238 15.7881191091010677 12.9037752521523981 9.7407030065993272 40.0223799106727895 90.1077390489251968 35.4351463 77.9747009
saga-128 1.6260145 3.9427085 6.6831465 9.0578585 11.2272539 5.7028012470849347 6.7096502013754069 9.5571937607359434 12.4027157429359409 14.6214452350543969 75.0071924888099630 140.0754713933214646 61.6235619 118.7766266
saga-130 1.6212227 10.2378521 23.2697811 35.6558914 47.1540642 10.8065791835696707 8.8695151771882887 9.6013077634443604 14.3191352188147025 8.3136225287777794 5.0153692185212257 5.9260060791902731 3.7221892 6.5295534
saga-131 0.1936229 0.3226099 0.4559267 0.6334016 0.7691020 0.8800112492579863 0.9644947474211669 1.0016831685325800 1.0044233268029590 1.2094566365716375 5.7796682408955888 12.1328294460573716 4.5590572 7.0941663
saga-132 0.3287868 1.6399500 3.2106431 4.6598444 6.1170654 3.6990332326804873 4.3161832651118246 5.2569081263922453 10.0813058391672232 12.2177237693143699 26.7610352548385642 34.9270650191684240 14.0890656 18.2767906
saga-134 0.0647948 0.3570193 0.8341907 1.3123635 1.7687846 1.0609336517620964 1.3350571867020995 1.4545557742532813 1.1811819186895411 1.0246848187177715 3.3876841342185640 6.9560403517459637 3.1558785 9.3481522
saga-137 0.1660285 0.4110852 0.8911865 1.1282444 1.2857418 1.1389069035955450 1.4584779563663912 1.5542840100267874 1.6607979123204490 2.8932789139720270 27.4348702233817434 93.4032725258558401 27.2616520 94.4144897
saga-139 0.3794443 1.1653645 2.2673688 3.0614176 3.8320296 0.5603872181074643 0.7782154801138632 0.8588758182667775 0.9168890585967033 0.6072818506982842 1.5556178225521518 2.5820348082403477 0.3848330 0.9179305
saga-142 2.6168869 12.9492531 28.2462311 40.2025337 53.1929016 17.1904894851188459 22.4233185792490737 39.1138350581932244 24.0058335363978621 19.5609661679708964 82.1680366969004723 205.8553188355664076 97.2788773 232.7914886
saga-144 0.1167560 0.3260398 0.6704876 1.3625777 1.5523443 1.2499372937519209 1.9911311722646108 3.6135193495692288 7.0261398564793582 9.9951726891836064 31.3258533279139257 62.3967676827940636 25.4475594 54.2735100
saga-145 0.1510324 0.3334916 0.8398491 1.4193355 1.6465147 1.1129822170152210 1.8059256685985368 2.7010360629786394 3.8718345441719491 4.4976981114456578 63.1979382421733078 270.8707390383825668 38.3573647 188.9648438
