 objname spec_tag w3_spec w4_spec w3_agn w4_agn 
saga-59      1      6.6637015      4.4116101      6.7463923      4.4946880
saga-61      1      8.2160568      6.2542529      8.6441355      6.8480592
saga-65      1      6.2823582      4.0806565      6.3289390      4.1458154
saga-67      1      8.2519932      6.0763845      8.5301714      6.4647093
saga-71      1      6.4763355      4.1074123      6.5304041      4.1692920
saga-72      1      8.5684338      6.3149171      8.5684338      6.3149171
saga-73      1      9.9104710      7.4653988      9.9104710      7.4653988
saga-75      1      9.4281778      7.8754487     12.8918781           -NaN
saga-125      1      8.3172903      5.9653015      8.5243549      6.1880455
saga-126      1      7.1506495      4.8002620      7.3651438      5.0598855
saga-128      1      6.5559912      4.3273077      6.7781577      4.6201243
saga-130      1      9.8247614      7.7686968      9.8247614      7.7686968
saga-131      1      9.1730099      7.0284095      9.5966463      7.6652904
saga-132      1      8.0372486      6.0472102      8.3709068      6.6338668
saga-134      1     10.0039568      7.3790908     10.0039568      7.3790908
saga-137      1      7.5929537      4.8247838      7.6614656      4.8674407
saga-139      1     11.3223257      9.0486126     12.3714552     10.7263021
saga-142      1      6.2224903      3.8206816      6.2793360      3.8857574
saga-144      1      7.5525579      5.2757926      7.7311401      5.4626069
saga-158      1     10.0977755      8.0311785     10.7131615      9.2189331
saga-160      1      8.4517632      5.6966009      8.6895123      5.8618965
saga-161      1      8.5199986      6.3520708      8.5199986      6.3520708
saga-163      1      6.7470880      5.0311246      6.7857237      5.1114531
saga-167      1      6.8380737      4.1757531      6.9250278      4.2422943
saga-168      1     10.1516237      8.0840740     10.1516237      8.0840740
saga-177      1      7.3771229      5.4463367      7.5154839      5.6918068
saga-181      1      9.1668119      6.9971089      9.5627813      7.5790515
saga-190      1      8.8559837      6.5860991      8.8559837      6.5860991
saga-193      1      8.5324192      6.1959662      8.5324192      6.1959662
saga-196      1     10.0465097      7.6369963     10.0465097      7.6369963
saga-198      1     10.5085468      8.2612047     10.5085468      8.2612047
saga-199      1      9.6432438      7.2805281      9.6432438      7.2805281
saga-201      1      6.6827412      4.2750983      6.7158823      4.3059039
saga-203      1      7.4224911      5.1006799      7.4224911      5.1006799
saga-206      1      8.0084124      5.5858397      8.0084124      5.5858397
saga-207      1      5.9148273      3.7430639      5.9148273      3.7430639
saga-208      1      6.4103208      3.3784730      6.9986062      3.7194424
saga-209      1      8.8460207      6.8055577      9.2986546      7.5678320
saga-211      1      8.9873171      6.9980021      8.9873171      6.9980021
saga-216      1      6.2790122      4.0769238      6.2790122      4.0769238
saga-217      1      7.5400124      4.7609210      8.0914164      5.0769849
saga-224      1      6.6466413      4.2370820      6.8472710      4.4083610
saga-226      1      5.6431642      2.6699097      5.8777514      2.8311768
saga-230      1      6.1976123      3.6602085      6.5458179      4.0127020
