# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
saga-25      1      6.1427345      3.4204221      6.1819644      3.4513826
saga-46      1      6.9496560      4.6931162      7.0834479      4.8322792
saga-52      1      8.2936583      5.8090754      8.2936583      5.8090754
saga-54      1      6.2348013      3.9658277      6.3026361      4.0487270
saga-58      1      7.0986228      4.6928625      7.1472073      4.7360334
saga-59      1      6.6637015      4.4116101      6.7505159      4.4988317
saga-61      1      8.2160568      6.2542529      8.6617670      6.8747239
saga-65      1      6.2823582      4.0806565      6.3309669      4.1486778
saga-67      1      8.2519932      6.0763845      8.5210752      6.4513421
saga-71      1      6.4763355      4.1074123      6.5327454      4.1719818
saga-72      1      8.5684338      6.3149171      8.5684338      6.3149171
saga-73      1      9.9104710      7.4653988      9.9104710      7.4653988
saga-75      1      9.4281778      7.8754487     12.9344187           -NaN
saga-79      1      9.7962675      7.0292020     10.3309240      7.3496327
saga-81      1     10.0143080      7.9829364     12.8691196           -NaN
saga-106      1     10.6176682      8.4201717     11.1176825      9.0794048
saga-118      1      9.7132969      7.3866391     13.5162888      9.7975464
saga-120      1      7.8270421      6.0939803           -NaN           -NaN
saga-125      1      8.3172903      5.9653015      8.5284605      6.1924949
saga-126      1      7.1506495      4.8002620      7.3781714      5.0760212
saga-128      1      6.5559912      4.3273077      6.7773900      4.6190777
saga-130      1      9.8247614      7.7686968      9.8247614      7.7686968
saga-131      1      9.1729755      7.0284095      9.6045694      7.6786518
saga-132      1      8.0372486      6.0472102      8.3795519      6.6511555
saga-134      1     10.0039568      7.3790908     10.0039568      7.3790908
saga-137      1      7.5929537      4.8247838      7.6628766      4.8683085
saga-139      1     11.3146152      8.8376818     12.2885761      9.8988810
saga-142      1      6.2224903      3.8206816      6.2817111      3.8884876
saga-144      1      7.5525579      5.2757926      7.7376418      5.4694357
saga-145      1      6.8079724      3.8465946      7.2921352      4.1149526
saga-156      1      5.5212855      2.8075683      5.9150543      3.1197953
saga-158      1     10.0977755      7.8920345     10.7181482      8.8564386
saga-160      1      8.4517632      5.6966009      8.6843395      5.8584189
saga-161      1      8.5199986      6.3520708      8.5199986      6.3520708
saga-163      1      6.7470880      5.0311246      6.7876110      5.1154585
saga-165      1      9.4682589      7.6150150      9.4682589      7.6150150
saga-167      1      6.8380737      4.1757531      6.9312658      4.2470193
saga-168      1     10.1516237      7.9566011     10.1516237      7.9566011
saga-170      1      7.4845271      4.5809989      7.7664766      4.7459583
saga-177      1      7.3771229      5.4463367      7.5129933      5.6871629
saga-181      1      9.1668119      6.9971089      9.5764589      7.6011753
