# optical emission line information of the sample
#
# objname     redshift    EW(H-beta)     EW(OIII)    sample-id
PG0003+158      0.4510000     91.0000000     26.0000000 pg
PG0003+199      0.0260000     95.0000000     22.0000000 pg
PG0007+106      0.0890000    101.0000000     42.0000000 pg
PG0026+129      0.1420000     65.0000000     29.0000000 pg
PG0043+039      0.3850000     92.0000000      1.0000000 pg
PG0049+171      0.0640000    136.0000000     97.0000000 pg
PG0050+124      0.0610000     51.0000000     22.0000000 pg
PG0052+251      0.1550000     87.0000000     30.0000000 pg
PG0157+001      0.1630000     79.0000000     47.0000000 pg
PG0804+761      0.1000000    119.0000000      9.0000000 pg
PG0838+770      0.1310000    102.0000000     13.0000000 pg
PG0844+349      0.0640000     76.0000000      8.0000000 pg
PG0921+525      0.0350000    145.0000000     83.0000000 pg
PG0923+201      0.0290000    159.0000000      7.0000000 pg
PG0923+129      0.1920000     76.0000000     31.0000000 pg
PG0934+013      0.0500000     92.0000000     51.0000000 pg
PG0947+396      0.2060000    110.0000000     15.0000000 pg
PG0953+414      0.2340000    156.0000000     18.0000000 pg
PG1001+054      0.1600000     89.0000000      7.0000000 pg
PG1004+130      0.2410000     43.0000000      6.0000000 pg
PG1011-040      0.0580000     45.0000000     15.0000000 pg
PG1012+008      0.1870000    104.0000000     29.0000000 pg
PG1022+519      0.0450000     69.0000000      7.0000000 pg
PG1048+342      0.1670000    230.0000000     28.0000000 pg
PG1048-090      0.3440000     81.0000000     28.0000000 pg
PG1049-005      0.3600000    106.0000000     55.0000000 pg
PG1100+772      0.3110000     90.0000000     41.0000000 pg
PG1103-006      0.4230000     79.0000000      8.0000000 pg
PG1114+445      0.1440000    100.0000000     17.0000000 pg
PG1115+407      0.1550000     61.0000000      6.0000000 pg
PG1116+215      0.1760000    175.0000000     10.0000000 pg
PG1119+120      0.0500000     49.0000000     19.0000000 pg
PG1121+422      0.2250000     89.0000000      5.0000000 pg
PG1126-041      0.0620000    102.0000000     19.0000000 pg
PG1149-110      0.0490000    118.0000000     33.0000000 pg
PG1151+117      0.1770000    128.0000000     11.0000000 pg
PG1202+281      0.1650000    143.0000000     36.0000000 pg
PG1211+143      0.0810000     84.0000000     12.0000000 pg
PG1216+069      0.3310000     87.0000000     10.0000000 pg
PG1226+023      0.0630000    113.0000000      5.0000000 pg
PG1229+204      0.0637300    106.0000000     19.0000000 pg
PG1244+026      0.0480000     41.0000000     17.0000000 pg
PG1259+593      0.4780000     61.0000000      0.0000000 pg
PG1302-102      0.2780000     28.0000000      9.0000000 pg
PG1307+085      0.1550000    128.0000000     32.0000000 pg
PG1309+355      0.1830000     51.0000000     19.0000000 pg
PG1310-108      0.0340000     98.0000000     77.0000000 pg
PG1322+659      0.1680000     77.0000000      8.0000000 pg
PG1341+258      0.0870000    120.0000000     14.0000000 pg
PG1351+236      0.0550000     23.0000000     12.0000000 pg
PG1351+640      0.0880000     58.0000000     31.0000000 pg
PG1352+183      0.1520000    133.0000000     10.0000000 pg
PG1354+213      0.3000000     58.0000000     31.0000000 pg
PG1402+261      0.1640000     76.0000000      1.0000000 pg
PG1404+226      0.0980000     54.0000000      7.0000000 pg
PG1411+442      0.0900000    106.0000000     15.0000000 pg
PG1415+451      0.1140000     58.0000000      1.0000000 pg
PG1416-129      0.1290000    174.0000000     49.0000000 pg
PG1425+267      0.3640000     93.0000000     36.0000000 pg
PG1426+015      0.0860000     88.0000000     11.0000000 pg
PG1427+480      0.2210000    137.0000000     58.0000000 pg
PG1435-067      0.1260000    142.0000000     12.0000000 pg
PG1440+356      0.0790000     64.0000000     10.0000000 pg
PG1444+407      0.2673000     72.0000000      1.0000000 pg
PG1448+273      0.0650000     39.0000000     22.0000000 pg
PG1501+106      0.0360000    139.0000000     64.0000000 pg
PG1512+370      0.3710000    122.0000000     57.0000000 pg
PG1519+226      0.1370000    105.0000000      4.0000000 pg
PG1534+580      0.0300000     97.0000000     79.0000000 pg
PG1535+547      0.0390000    109.0000000     16.0000000 pg
PG1543+489      0.4000000     80.0000000      0.0000000 pg
PG1545+210      0.2640000     96.0000000     33.0000000 pg
PG1552+085      0.1190000     46.0000000      3.0000000 pg
PG1612+261      0.1310000    176.0000000    157.0000000 pg
PG1613+658      0.1290000    110.0000000     20.0000000 pg
PG1617+175      0.1120000    115.0000000      7.0000000 pg
PG1626+554      0.1330000    143.0000000      9.0000000 pg
PG1700+518      0.2920000     55.0000000      0.0000000 pg
PG1704+608      0.3720000     28.0000000     27.0000000 pg
PG2112+059      0.4660000    120.0000000      0.0000000 pg
PG2130+099      0.0630000    109.0000000     20.0000000 pg
PG2209+184      0.0700000    115.0000000     15.0000000 pg
PG2214+139      0.0660000    107.0000000      9.0000000 pg
PG2233+134      0.3260000     67.0000000     12.0000000 pg
PG2251+113      0.3260000     82.0000000     19.0000000 pg
PG2304+042      0.0420000     98.0000000     27.0000000 pg
PG2308+098      0.4330000     90.0000000     17.0000000 pg
saga-1      0.0372445      7.9889998     27.9939995 saga
saga-2      0.1495110      5.7779999     30.7260017 saga
