objname u g r i z J H K W1 W2 W3 W4
PG1149-110    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      5.2250233      6.0967708      8.5257063     12.3798904     13.7085114     48.3028374    114.3998413
PG1151+117      1.1090648      1.0298624      1.0602739      1.6300981      1.2537345      1.7868506      2.1414101      3.9005907      4.6893950      7.3280816     20.1594181     29.2924461
PG1202+281      0.5415892      0.4924042      0.6084455      0.9595773      0.7930592      1.9993472      2.5020723      4.7068505      7.3844266     10.5339270     31.8919983     72.0030746
PG1211+143      5.7794762      6.5457754      6.1412110      7.1015973      7.8387074      8.7435589     12.3111858     20.2829170     33.0762901     51.4505844    145.4429169    249.3978271
PG1216+069      2.4640241      2.7240899      2.9520488      2.7627990      4.3744793      2.2976730      2.6345100      3.1646843      7.3844266      9.5893745     16.0228176     23.2370319
PG1226+023      9.1777124     23.1318169     25.5884781     32.1244926     18.5163746     31.3392239     39.0391083     68.1601257    135.7427979    184.0730896    370.0591125    650.5591431
PG1229+204      1.3486677      2.2484879      3.3645980      5.1967077      5.6149764      4.5676017      6.0687590      9.2454996     13.2897491     18.3565178     63.6453247    141.4284821
PG1244+026      0.9353578      1.3503770      1.6616930      2.0473542      2.2498474      1.8658994      2.5136213      3.5280147      6.8346581      9.9951725     41.5774765     90.3170242
PG1259+593      1.8837054      2.1387978      2.0319257      2.1636832      2.1345875      1.9377075      2.6248221      3.9366825      8.9272318     13.2736483     20.1337032     21.2622433
PG1302-102    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      3.2395763      3.4889913      4.8164868      8.6281319     13.4707041     42.6135674     91.9147034
PG1307+085      2.2331173      2.0712597      2.1046619      3.2557352      2.3988678      3.4680731      4.1908283      7.1438179      9.3307552     13.2736483     33.6533699     74.1090698
PG1309+355      1.5818945      1.8179344      2.2765760      2.9993997      2.5917981      3.3334062      3.6299436      5.7587786     10.0627527     15.7975702     52.2878761    113.4770126
PG1310-108    -99.9000015    -99.9000015    -99.9000015    -99.9000015    -99.9000015      3.9236317      4.6590767      6.3786736     10.5758867     17.1470852     67.6352463    116.8410645
